name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"har-schema","2.0.0","-","-","-","-","-","-",false,true,false,false,false,"har-validator@5.1.5"
"har-validator","5.1.5","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"has-color","0.1.7","-","-","-","-","-","-",false,true,false,false,false,"chalk@0.4.0"
"has-unicode","2.0.1","2.0.1","git+https://github.com/iarna/has-unicode.git","2016-06-23T22:10:28.872Z","iarna (me@re-becca.org)","-","ISC",true,false,false,false,false,"gauge@3.0.2"
"http-errors","1.6.3","2.0.0","git+https://github.com/jshttp/http-errors.git","2018-03-29T20:29:06.751Z","dougwilson (doug@somethingdoug.com)",15829,"MIT",true,false,false,false,false,"react@0.0.0,body-parser@1.18.3,raw-body@2.3.3,send@0.16.2"
"http-signature","1.2.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"https-proxy-agent","5.0.1","5.0.1","git://github.com/TooTallNate/node-https-proxy-agent.git","2022-04-14T18:42:00.761Z","tootallnate (nathan@tootallnate.net)",26008,"MIT",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"iconv-lite","0.4.23","0.6.3","git://github.com/ashtuchkin/iconv-lite.git","2018-05-07T22:22:24.294Z","ashtuchkin (ashtuchkin@gmail.com)",335778,"MIT",true,false,false,false,false,"body-parser@1.18.3,raw-body@2.3.3"
"inflight","1.0.6","1.0.6","git+https://github.com/npm/inflight.git","2016-10-13T03:53:29.524Z","isaacs (i@izs.me)","-","ISC",true,false,false,false,false,"glob@7.2.3"
"inherits","2.0.3","2.0.4","git://github.com/isaacs/inherits.git","2016-09-08T00:49:38.520Z","isaacs (i@izs.me)","-","ISC",true,false,false,false,false,"readable-stream@2.3.7,glob@7.2.3,http-errors@1.6.3"
"ipaddr.js","1.9.0","2.0.1","git://github.com/whitequark/ipaddr.js.git","2019-02-10T07:51:21.736Z","whitequark (whitequark@whitequark.org)",42064,"MIT",true,false,false,false,false,"proxy-addr@2.0.5"
"is-fullwidth-code-point","3.0.0","4.0.0","git+https://github.com/sindresorhus/is-fullwidth-code-point.git","2019-03-18T08:09:05.035Z","sindresorhus (sindresorhus@gmail.com)",4994,"MIT",true,false,false,false,false,"string-width@4.2.3"
"is-typedarray","1.0.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"isarray","1.0.0","2.0.5","git://github.com/juliangruber/isarray.git","2015-12-10T10:05:07.067Z","juliangruber (julian@juliangruber.com)","-","MIT",true,false,false,false,false,"readable-stream@2.3.7"
"isstream","0.1.2","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"jade","1.9.2","1.11.0","git://github.com/jadejs/jade","2015-02-06T14:22:35.030Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"react@0.0.0"
"js-yaml","3.14.1","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
"jsbn","0.1.1","-","-","-","-","-","-",false,true,false,false,false,"ecc-jsbn@0.1.2,sshpk@1.17.0"
"json-schema","0.4.0","-","-","-","-","-","-",false,true,false,false,false,"jsprim@1.4.2"
"json-schema-traverse","0.4.1","-","-","-","-","-","-",false,true,false,false,false,"ajv@6.12.6"
"json-stringify-safe","5.0.1","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"jsonwebtoken","8.5.1","9.0.0","git+https://github.com/auth0/node-jsonwebtoken.git","2019-03-18T12:07:37.715Z","ziluvatar (eduardo.diaz@auth0.com)",73903,"MIT",true,false,false,false,false,"react@0.0.0"
"jsprim","1.4.2","-","-","-","-","-","-",false,true,false,false,false,"http-signature@1.2.0"
"jwa","1.4.1","2.0.0","git://github.com/brianloveswords/node-jwa.git","2019-03-16T15:19:55.038Z","omsmith (owen@omsmith.ca)",13688,"MIT",true,false,false,false,false,"jws@3.2.2"
"jws","3.2.2","4.0.0","git://github.com/brianloveswords/node-jws.git","2019-03-16T15:26:17.735Z","omsmith (owen@omsmith.ca)",17682,"MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"kareem","2.3.2","2.5.1","git://github.com/vkarpov15/kareem.git","2020-12-08T15:43:33.667Z","vkarpov15 (val@karpov.io)",100929,"Apache-2.0",true,false,false,false,false,"mongoose@5.13.14"
"lodash.includes","4.3.0","4.3.0","git+https://github.com/lodash/lodash.git","2016-08-13T17:39:40.778Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.isboolean","3.0.3","3.0.3","git+https://github.com/lodash/lodash.git","2016-02-03T07:28:20.290Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.isinteger","4.0.4","4.0.4","git+https://github.com/lodash/lodash.git","2016-08-13T17:40:41.538Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.isnumber","3.0.3","3.0.3","git+https://github.com/lodash/lodash.git","2016-02-03T07:28:49.514Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.isplainobject","4.0.6","4.0.6","git+https://github.com/lodash/lodash.git","2016-08-13T17:41:07.730Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.isstring","4.0.1","4.0.1","git+https://github.com/lodash/lodash.git","2016-02-03T07:28:59.695Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lodash.once","4.1.1","4.1.1","git+https://github.com/lodash/lodash.git","2016-08-13T17:42:47.106Z","jdalton (john.david.dalton@gmail.com)","-","MIT",true,false,false,false,false,"jsonwebtoken@8.5.1"
"lru-cache","2.7.3","-","-","-","-","-","-",false,true,false,false,false,"minimatch@0.3.0"
"make-dir","3.1.0","3.1.0","git+https://github.com/sindresorhus/make-dir.git","2020-04-22T14:59:14.524Z","sindresorhus (sindresorhus@gmail.com)",10042,"MIT",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"semver","6.3.0","7.3.8","git+https://github.com/npm/node-semver.git","2019-07-23T19:25:26.568Z","isaacs (i@izs.me)",67071,"ISC",true,false,false,false,false,"make-dir@3.1.0"
"media-typer","0.3.0","1.1.0","https://github.com/jshttp/media-typer","2014-09-08T04:32:24.363Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"type-is@1.6.18"
"memory-pager","1.5.0","1.5.0","git+https://github.com/mafintosh/memory-pager.git","2019-01-09T15:38:24.901Z","mafintosh (mathiasbuus@gmail.com)",8135,"MIT",true,false,true,false,false,"sparse-bitfield@3.0.3"
"merge-descriptors","1.0.1","1.0.1","https://github.com/component/merge-descriptors","2016-01-17T23:50:26.636Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"methods","1.1.2","1.1.2","https://github.com/jshttp/methods","2016-01-18T02:53:56.364Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"mime","1.4.1","3.0.0","git+https://github.com/broofa/node-mime.git","2017-09-25T18:38:29.492Z","broofa (robert@broofa.com)","-","MIT",true,false,false,false,false,"send@0.16.2"
"mime-db","1.43.0","1.52.0","git+https://github.com/jshttp/mime-db.git","2020-01-06T03:24:37.942Z","dougwilson (doug@somethingdoug.com)",193844,"MIT",true,false,false,false,false,"mime-types@2.1.26"
"mime-types","2.1.26","2.1.35","git+https://github.com/jshttp/mime-types.git","2020-01-06T03:47:55.198Z","dougwilson (doug@somethingdoug.com)",16332,"MIT",true,true,false,false,false,"accepts@1.3.7,form-data@2.3.3,request@2.88.2,type-is@1.6.18"
"minimatch","0.3.0","-","-","-","-","-","-",false,true,false,false,false,"nodemon@1.3.3"
"minimist","1.2.6","1.2.8","git://github.com/substack/minimist.git","2022-03-22T02:50:30.352Z","substack (substack@gmail.com)",33202,"MIT",true,false,false,false,false,"mkdirp@0.5.6"
"minipass","3.3.3","4.2.4","git+https://github.com/isaacs/minipass.git","2022-06-20T03:38:50.485Z","isaacs (i@izs.me)",47855,"ISC",true,false,false,false,false,"fs-minipass@2.1.0,minizlib@2.1.2,tar@6.1.11"
"minizlib","2.1.2","2.1.2","git+https://github.com/isaacs/minizlib.git","2020-08-14T22:42:53.986Z","isaacs (i@izs.me)",17309,"MIT",true,false,false,false,false,"tar@6.1.11"
"mkdirp","0.5.6","2.1.5","git+https://github.com/substack/node-mkdirp.git","2022-03-22T23:48:15.108Z","isaacs (i@izs.me)",7688,"MIT",true,true,false,false,false,"configstore@0.3.2,jade@1.9.2"
"mongodb","3.7.3","5.1.0","git+ssh://git@github.com/mongodb/node-mongodb-native.git","2021-10-20T17:38:02.535Z","nbbeeken (neal.beeken@mongodb.com)",1355769,"Apache-2.0",true,false,false,false,false,"mongoose@5.13.14"
"optional-require","1.1.8","1.1.8","git+https://github.com/jchip/optional-require.git","2021-09-22T06:14:16.500Z","jchip (joel123@gmail.com)",22664,"Apache-2.0",true,false,false,false,false,"mongodb@3.7.3"
"mongoose","5.13.14","7.0.0","git://github.com/Automattic/mongoose.git","2021-12-27T17:58:20.565Z","vkarpov15 (val@karpov.io)",1961881,"MIT",true,false,false,true,false,"react@0.0.0,mongoose-legacy-pluralize@1.0.2"
"mongoose-legacy-pluralize","1.0.2","2.0.0","git+https://github.com/vkarpov15/mongoose-legacy-pluralize.git","2018-01-28T23:36:14.896Z","vkarpov15 (val@karpov.io)","-","Apache-2.0",true,false,false,false,false,"mongoose@5.13.14"
